id,season,city ,date,team1,team2,toss_winner,toss_decision,winner,winner_by_runs,winner_by_wickets,player_of_match,venue,umpire 1,umpire 2,tv-umpire,no_result,tie,result,dl-applied
1252692,2021,Nottingham,8/13/2021,Birmingham Phoenix,Trent Rockets,Trent Rockets,field,Birmingham Phoenix,16,,LS Livingstone,"Trent Bridge,Nottingham",DJ Millns,PJ Hartley,MJ Saggers,0,0,normal,0
1252693,2021,London,8/14/2021,London Spirit,Oval Invincilbes,London Spirit,bat,Oval Invincibles,,2,LJ Evans,"Kennington Oval, London",NA Mallender,NGB Cook,NL Bainton,0,0,normal,0
1252694,2021,Nottingham,8/15/2021,Manchester Originals,Trent Rockets,Manchester Originals,bat,Trent Rockets,,7,DJ Malan,"Trent Bridge,Nottingham",RJ Warren,SJ O'Shaughnessy,PK Baldwin,0,0,normal,0
1252695,2021,Southampton,8/16/2021,Oval Invincibles,Southern Brave,Southern Brave,field,Southern Brave,,6,AL Davies,"The Rose Bowl, Southampton",MJ Saggers,RJ Bailey,NJ Llong,0,0,normal,0
1252696,2021,Leeds,8/17/2021,Northern Superchargers,Birmingham Phoenix,Birmingham Phoenix,field,Birmingham Phoenix,,8,LS Livingstone,"Headingley, Leeds",NA Mallender,RJ Warren,RT Robinson,0,0,normal,0
1252697,2021,Cardiff,8/18/2021,London Spirit,Welsh Fire,Welsh Fire,field,Welsh Fire,,3,GD Phillips,"Sophia Gardens, Cardiff",NGB Cook,NJ Llong,MJ Saggers,0,0,normal,0
1252698,2021,London,8/20/2021,Trent Rockets,Southern Brave,Southern Brave,field,Southern Brave,,7,GHS Garton,"Kennington Oval, London",DJ Millns,RJ Warren,NL Bainton,0,0,normal,0
1252699,2021,London,8/21/2021,Southern Brave,Birmingham Phoenix,Birmingham Phoenix,field,Southern Brave,32,,PR Stirling,"Lord's, London",AG Wharf,MJ Saggers,NJ Llong,0,0,normal,0
1299171,2022,Southampton,8/3/2022,Welsh Fire,Southern Brave,Southern Brave,field,Southern Brave,,9,JM Vince,"The Rose Bowl, Southampton",AG Wharf,RJ Warren,PK Baldwin,0,0,normal,0
1299172,2022,London,8/4/2022,London Spirit,Oval Invincilbes,Oval Invincibles,field,London Spirit,3,,NT Ellis,"Kennington Oval, London",DJ Millns,NGB Cook,NJ Llong,0,0,normal,0
1299173,2022,Manchester,8/5/2022,Manchester Originals,Northern Superchargers,Northern Superchargers,field,Northern Superchargers,,6,A Lyth,"Old Trafford, Manchester",NA Mallender,RJ Bailey,SJ O'Shaughnessy,0,0,normal,0
1299174,2022,Nottingham,8/6/2022,Birmingham Phoenix,Trent Rockets,Trent Rockets,field,Trent Rockets,,6,AD Hales,"Trent Bridge,Nottingham",PJ Hartley,SJ O'Shaughnessy,DJ Millns,0,0,normal,0
1299175,2022,Cardiff,8/7/2022,Oval Invincibles,Welsh Fire,Welsh Fire,field,Oval Invincibles,39,,WG Jacks,"Sophia Gardens, Cardiff",AG Wharf,NJ Llong,PK Baldwin,0,0,normal,0
1299176,2022,London,8/8/2022,London Spirit,Manchester Originals,London Spirit,bat,London Spirit,52,,JA Thompson,"Lord's, London",NA Mallender,RJ Warren,NJ Llong,0,0,normal,0
1299177,2022,Leeds,8/9/2022,Northern Superchargers,Trent Rockets,Trent Rockets,field,Trent Rockets,,7,DJ Malan,"Headingley, Leeds",DJ Millns,ID Blackwell,SJ O'Shaughnessy,0,0,normal,0
1299178,2022,Birmingham,8/10/2022,Birmingham Phoenix,Southern Brave,Southern Brave,field,Birmingham Phoenix,53,,WCF Smeed,"Edgbaston, Birmingham",NGB Cook,PJ Hartley,NL Bainton,0,0,normal,0
1299179,2022,London,8/11/2022,Northern Superchargers,Oval Invincilbes,Oval Invincibles,field,Oval Invincibles,,3,SM Curran,"Kennington Oval, London",AG Wharf,RJ Bailey,NJ Llong,0,0,normal,0
1299180,2022,Southampton,8/12/2022,London Spirit,Southern Brave,London Spirit,bat,London Spirit,9,,DJ Bell-Drummond,"The Rose Bowl, Southampton",BJ Debenham,NGB Cook,PK Baldwin,0,0,normal,0
1299181,2022,Manchester,8/13/2022,Manchester Originals,Trent Rockets,Trent Rockets,field,Trent Rockets,,8,DJ Malan,"Old Trafford, Manchester",NJ Llong,SJ O'Shaughnessy,GD Lloyd,0,0,normal,0
